Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2018-03-01 00:00:00,12,21.0,1.0,31.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,22.9499,1.0,69.5582,1.0,641.584,151.0,0.0,1.0,0.0,1.0,19.5367,1.0,0.79826,1.0
2018-03-01 01:00:00,12,30.0,1.0,48.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,5.84075,1.0,70.0562,1.0,641.209,151.0,0.0,1.0,0.0,1.0,19.3372,1.0,0.549064,1.0
2018-03-01 02:00:00,12,31.0,1.0,58.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,13.5946,1.0,71.4264,1.0,640.736,151.0,0.0,1.0,0.0,1.0,19.1131,1.0,0.621398,1.0
2018-03-01 03:00:00,12,27.0,1.0,47.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,4.78035,1.0,72.2394,1.0,640.541,151.0,0.0,1.0,0.0,1.0,18.8716,1.0,0.608795,1.0
2018-03-01 04:00:00,12,32.0,1.0,68.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,16.7217,1.0,74.11,1.0,640.449,151.0,0.0,1.0,0.0,1.0,18.6026,1.0,0.844124,1.0
2018-03-01 05:00:00,12,38.0,1.0,52.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,16.3464,1.0,74.9792,1.0,640.522,151.0,0.0,1.0,0.0,1.0,18.2427,1.0,0.567739,1.0
2018-03-01 06:00:00,12,48.0,1.0,70.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,5.54545,1.0,75.8791,1.0,640.83,151.0,0.0,1.0,0.0,1.0,18.0061,1.0,0.697703,1.0
2018-03-01 07:00:00,12,58.0,1.0,79.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,24.3176,1.0,78.5946,1.0,641.354,151.0,0.0,1.0,15.4086,1.0,17.5432,1.0,0.834747,1.0
2018-03-01 08:00:00,12,68.0,1.0,77.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,26.4439,1.0,71.6495,1.0,641.824,151.0,0.0,1.0,95.5633,1.0,18.3955,1.0,0.92468,1.0
2018-03-01 09:00:00,12,68.0,1.0,82.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,25.9039,1.0,62.1904,1.0,642.176,151.0,0.0,1.0,357.611,1.0,20.1282,1.0,0.912336,1.0
2018-03-01 10:00:00,12,54.0,1.0,70.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,28.9872,1.0,52.4646,1.0,642.156,151.0,0.0,1.0,580.701,1.0,21.8842,1.0,0.996222,1.0
2018-03-01 11:00:00,12,56.0,1.0,56.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,354.196,1.0,41.7537,1.0,641.577,151.0,0.0,1.0,740.144,1.0,23.9182,1.0,0.210464,1.0
2018-03-01 12:00:00,12,67.0,151.0,57.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,315.234,1.0,33.8762,1.0,640.721,151.0,0.0,1.0,836.464,1.0,25.747,1.0,0.513062,1.0
2018-03-01 13:00:00,12,38.0,1.0,59.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,33.0169,1.0,28.098,1.0,639.844,151.0,0.0,1.0,742.904,1.0,27.0818,1.0,0.12732,1.0
2018-03-01 14:00:00,12,37.0,1.0,44.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,206.41,1.0,21.846,1.0,638.979,151.0,0.0,1.0,760.036,1.0,28.5762,1.0,0.407986,1.0
2018-03-01 15:00:00,12,31.0,1.0,52.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,261.889,1.0,20.3914,1.0,638.229,151.0,0.0,1.0,483.149,1.0,29.3249,1.0,0.56751,1.0
2018-03-01 16:00:00,12,44.0,1.0,93.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,16.5844,1.0,29.4178,1.0,637.693,151.0,0.0,1.0,370.257,1.0,28.5991,1.0,1.10643,1.0
2018-03-01 17:00:00,12,43.0,1.0,110.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,14.8372,1.0,37.8111,1.0,637.655,151.0,0.0,1.0,199.648,1.0,27.4809,1.0,0.844159,1.0
