"placa;fecha;hora;ingreso;;;;;;;;"
"TXR 557;01/03/2017;00:23:03;E;;;;;;;;"
"PBH 815;01/03/2017;00:37:41;E;;;;;;;;"
"SBO 355;01/03/2017;00:45:42;E;;;;;;;;"
"VVS 343;01/03/2017;00:47:42;E;;;;;;;;"
"FPX 682;01/03/2017;00:58:33;E;;;;;;;;"
"VEV 529;01/03/2017;01:02:05;E;;;;;;;;"
"AYL 829;01/03/2017;01:13:12;E;;;;;;;;"
"AYL 829;01/03/2017;01:19:43;S;;;;;;;;"
"LPP 651;01/03/2017;01:31:18;E;;;;;;;;"
"CFZ 028;01/03/2017;01:33:23;E;;;;;;;;"
"XTQ 388;01/03/2017;01:45:55;E;;;;;;;;"
"NIV 227;01/03/2017;01:49:44;E;;;;;;;;"
"TXR 557;01/03/2017;01:54:38;S;;;;;;;;"
"EOC 495;01/03/2017;02:03:31;E;;;;;;;;"
"NXS 513;01/03/2017;02:14:36;E;;;;;;;;"
"FPY 876;01/03/2017;02:21:03;E;;;;;;;;"
"VSK 574;01/03/2017;02:28:55;E;;;;;;;;"
"FJO 863;01/03/2017;02:39:57;E;;;;;;;;"
"QUZ 524;01/03/2017;02:57:12;E;;;;;;;;"
"FPX 682;01/03/2017;03:32:37;S;;;;;;;;"
"XTQ 388;01/03/2017;03:38:04;E;;;;;;;;"
"HBP 527;01/03/2017;03:49:13;E;;;;;;;;"
"IEJ 042;01/03/2017;04:01:47;E;;;;;;;;"
"QVQ 734;01/03/2017;04:05:18;E;;;;;;;;"
"FUA 549;01/03/2017;04:19:55;E;;;;;;;;"
"DIH 817;01/03/2017;04:25:27;E;;;;;;;;"
"UAO 814;01/03/2017;04:29:06;E;;;;;;;;"
"LUZ 537;01/03/2017;04:34:48;E;;;;;;;;"
"BJB 653;01/03/2017;04:41:21;E;;;;;;;;"
"CTN 235;01/03/2017;04:55:31;E;;;;;;;;"
"XBN 458;01/03/2017;05:27:33;E;;;;;;;;"
"XRM 991;01/03/2017;05:38:43;E;;;;;;;;"
"TWN 005;01/03/2017;05:43:09;E;;;;;;;;"
"TOJ 723;01/03/2017;05:55:39;E;;;;;;;;"
"YAP 058;01/03/2017;06:03:02;E;;;;;;;;"
"QVE 247;01/03/2017;06:31:23;E;;;;;;;;"
"DQG 620;01/03/2017;06:42:46;E;;;;;;;;"
"VUC 955;01/03/2017;06:56:00;E;;;;;;;;"
"MXK 156;01/03/2017;07:02:25;E;;;;;;;;"
"KXH 499;01/03/2017;07:03:09;E;;;;;;;;"
"MGP 737;01/03/2017;07:05:48;E;;;;;;;;"
"GTV 328;01/03/2017;07:17:57;E;;;;;;;;"
"YPF 622;01/03/2017;07:18:06;E;;;;;;;;"
"DAQ 047;01/03/2017;07:19:35;E;;;;;;;;"
"JPB 228;01/03/2017;07:24:03;E;;;;;;;;"
