PEER NGA STRONG MOTION DATABASE RECORD
LaMalbaie97-08-20, 08/20/1997, LMN, BHE
ACCELERATION TIME HISTORY IN UNITS OF G
NPTS=  12133, DT=   0.025 SEC
  1.3336966E-11  1.3288452E-11  1.3180338E-11  1.3008250E-11  1.2760702E-11
  1.2431076E-11  1.2105383E-11  1.1402640E-11  1.0761732E-11  1.0572214E-11
  9.1240071E-12  8.2209235E-12  6.7845339E-12  4.5010924E-12  4.6972409E-12
  4.6491871E-12 -4.5071606E-12 -5.6906187E-12  3.2663561E-12 -1.1812010E-11
 -2.1568229E-11 -6.2748426E-12 -1.1835750E-11 -3.5121161E-11 -1.4976951E-11
 -2.8733306E-11 -5.7398613E-11 -1.0585720E-11 -3.3337205E-11 -8.6446316E-11
 -3.0232076E-11 -2.7477072E-11 -1.2135648E-10 -2.2187460E-11 -5.7614314E-11
 -1.1071265E-10 -1.9276091E-11 -8.2114880E-11  2.3344969E-11 -1.1680770E-10
 -9.7489245E-11 -1.6026838E-10 -8.1740335E-11  2.6314129E-10 -4.3327450E-10
 -1.2139329E-10  4.0089287E-10 -3.1640014E-10 -4.5385555E-11  2.3878313E-10
 -3.0167322E-10  2.2888453E-11  3.5549584E-10 -1.9660820E-10 -2.0140621E-10
  1.4433457E-10 -9.2986140E-11  7.2965594E-10 -3.3666647E-10 -6.9500612E-10
  1.0404255E-09  1.7055658E-10 -3.2126987E-10 -2.8837691E-10  7.0171751E-10
 -4.2927023E-10  7.8832431E-10  2.8450841E-10 -1.9637778E-09  2.1169458E-09
  3.8301117E-10 -2.3604265E-09  9.9245799E-10  1.9013761E-09 -2.0069755E-09
  3.0694173E-10  1.3117960E-09  2.6225985E-10 -5.6728448E-10  5.0243863E-10
 -1.2036094E-10 -1.0116549E-09  4.2342265E-09 -3.9616123E-09  3.7204118E-10
  3.9836893E-09 -2.9923689E-09  2.0084101E-09 -6.6479378E-10  4.0930095E-10
  2.8180163E-09 -1.1185002E-09  2.4319210E-10  1.1505027E-09  2.2200468E-09
  5.6223627E-10 -6.1340605E-10  3.5337844E-09  1.4110304E-09  1.7185016E-09
 -6.9062713E-10  3.4772781E-09  6.6124818E-09 -2.8609218E-09  1.8161431E-09
  6.7107307E-09  3.0170337E-09  3.9708056E-11  2.6445200E-09  6.6653738E-09
  1.3395742E-09  2.8373905E-09  5.8008643E-09  1.7966830E-09  6.4942230E-09
  2.8047017E-09  1.0016779E-09  3.9478095E-09  6.6377245E-09  4.0696582E-09
  3.8914650E-10  5.4777358E-09  2.6041804E-09  6.2110496E-09  4.7425187E-09
  3.7665577E-10  1.7809368E-09  8.1931798E-09  4.7458139E-09 -3.0533687E-09
 -9.6007945E-10  5.0242445E-09  6.5501124E-09 -4.2987495E-09 -1.6069447E-09
  9.1049698E-11  4.1870129E-09 -2.6124282E-09 -7.6559716E-09  6.2078411E-09
 -2.1516323E-09 -7.7006035E-09  2.1556563E-09  1.0045598E-09 -1.0718484E-08
 -1.9490032E-09  2.7857528E-09 -6.8887141E-09 -4.6845689E-09 -1.4098583E-10
 -6.7806999E-09 -3.1203425E-09  3.5833091E-09 -1.2796709E-08 -7.9438118E-09
  5.3952228E-09 -3.8966321E-09 -1.1687893E-08 -1.3697512E-09 -2.3908823E-09
 -1.0552193E-08 -1.0105033E-09 -1.0275769E-08 -9.8060896E-09 -8.1020936E-10
 -7.7312067E-09 -1.5755772E-08 -6.4350604E-09 -5.2519467E-10 -1.9276750E-08
 -1.1007310E-08 -1.5263304E-09 -1.3597138E-08 -1.1759491E-08 -1.0300530E-08
 -1.3783950E-08 -5.4378265E-09 -8.7485963E-09 -1.1593662E-08 -3.7745334E-09
 -9.2014633E-09 -1.5404968E-08 -8.5232914E-09 -1.8268120E-09 -1.2416150E-08
 -1.1354957E-08 -3.2615688E-09 -6.4757220E-09 -8.5967315E-09 -7.6978097E-09
 -2.6346194E-09 -4.0478877E-09 -1.2182664E-08 -7.6039963E-09  3.8746825E-09
  2.1003224E-10 -9.7569103E-09  6.6224080E-10  2.2422464E-09 -7.2773922E-09
  7.5653841E-09  4.3365064E-09 -1.0903735E-08  4.0928540E-09  9.3809636E-09
 -5.7777020E-09  1.8768560E-09  1.0811818E-08 -2.2435570E-09  1.6009380E-09
  1.1272611E-08 -2.8636121E-09 -1.9901252E-09  1.4844935E-08 -4.1329974E-09
 -2.1158271E-09  2.3770024E-08  3.1127404E-09 -7.6652593E-09  1.2766533E-08
  1.6177616E-08 -5.8422525E-09  2.5171045E-09  1.5750406E-08 -5.6691817E-10
  7.6024317E-09  6.7821780E-09 -2.5677333E-09  8.3013998E-09  9.6023562E-09
  2.2665650E-10  1.2032604E-08  1.2060208E-08  8.1819907E-10  1.4763063E-08
  8.9175575E-09  5.6691613E-09  6.4919021E-09  4.0771575E-09  9.5430248E-09
  9.8539039E-09  3.5288332E-09  9.3893953E-09  1.4752795E-08  5.6423009E-10
  1.2571089E-08  1.5670079E-08 -2.9549623E-10  1.0150466E-08  9.9190368E-09
 -9.2968733E-09  5.6947665E-09  1.6029756E-08 -7.1748515E-09  4.7274674E-09
  2.4801829E-08 -1.0632900E-08 -3.2111454E-09  3.1579646E-08  4.6476609E-09
  2.1331787E-09  1.7036712E-08  5.4027582E-09 -4.9280895E-09  2.6338896E-08
  2.6859197E-08 -1.7645434E-08  1.0005721E-08  4.0876103E-08  8.2233148E-09
 -2.0899779E-09  2.3838483E-08  1.0634738E-08  1.3637659E-08  2.1284577E-08
  7.3043482E-10  2.1972197E-08  1.5347853E-08 -1.4914964E-08  1.0410353E-08
  1.9524437E-08 -1.2481849E-08  6.8559992E-09  4.8340343E-09 -1.8898321E-09
  2.1047297E-08 -8.8420581E-09 -1.6981919E-08  4.9105363E-09  1.0512940E-08
 -1.3423714E-08 -4.4740700E-09 -7.9151997E-09 -1.8615789E-08  5.9859773E-09
 -1.5729067E-08 -2.4370301E-08  1.3264297E-08 -1.5007621E-08 -3.0976672E-08
  2.1747731E-08 -2.0124344E-08 -4.3890001E-08  6.5055485E-09 -1.5422430E-08
 -3.6871215E-08  2.4249478E-08 -1.9139230E-08 -6.8304543E-08  3.2336112E-08
 -1.1556222E-08 -6.0920250E-08  1.9778261E-08 -2.6833381E-08 -5.0127313E-08
  8.6454120E-09 -9.1683783E-09 -5.8051565E-08 -1.1914559E-09  5.4981169E-09
 -3.8943705E-08 -3.9775907E-09 -1.6121624E-08  6.2854313E-09 -2.8102151E-08
 -7.6059997E-09  9.7877524E-09 -2.2069613E-08 -5.8591427E-10 -6.1775700E-09
 -1.5742848E-08  6.2226181E-09  9.1622519E-09 -6.1858745E-08  4.7033515E-08
  2.5082033E-08 -8.6225434E-08  4.2624177E-08  1.6393460E-08 -6.5475630E-08
  4.1151841E-08 -8.2717834E-09 -4.8071049E-08  4.2409499E-08 -1.1762920E-09
 -4.5449191E-08  1.7166935E-08  1.9035004E-08 -2.1017960E-08 -4.4574995E-09
  3.6475060E-09  2.3300699E-08 -2.1689256E-08  7.8425312E-09  1.7119667E-08
 -1.0940756E-08  2.4109786E-08  4.7502264E-09  1.4423647E-08  1.3403195E-08
 -4.4584615E-09  2.4677168E-08  2.3843081E-08 -8.4157647E-09  3.1485046E-08
  1.1484705E-08 -2.8449179E-10  2.7860974E-08  1.6898306E-08 -1.8865844E-08
  2.8608581E-08  4.3404528E-08 -2.7329729E-08  5.0285230E-08  1.3103984E-09
